filename,gender,speaker,gradelevel,sentence,modification,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
FADF1AO2,F,ADF,1,AO,2,54.08,239.39,1457.24,2804.11,4037.73,8.0009,2.8,6.51,0.57,0,1,3,7
FADF1AP2,F,ADF,1,AP,2,58.68,232.5,1509.64,2959.15,4205.96,17.4857,3.73494,6.29,0.6,0,5,1,15
FADF1AQ2,F,ADF,1,AQ,2,60.36,242.38,1636.69,2964.82,4257.99,19.999,1.913043,5.23,0.67,0,2,0,6
FADF1AR2,F,ADF,1,AR,2,61.07,233.76,1373.53,2877.05,4394.52,10.2614,5.105105,7.55,0.43,1,1,1,7
FADF1AS2,F,ADF,1,AS,2,59.16,230.88,1400.11,3143.52,4390.27,19.6361,5.218855,5.56,0.77,0,3,0,13
FADF1AT2,F,ADF,1,AT,2,61.4,229.38,1315.22,2862.35,4152.56,5.2638,3.759398,5.69,0.5,0,2,1,8
FADF1AU2,F,ADF,1,AU,2,61.88,255.55,1188.69,2902.86,4241.25,9.2736,6.551724,6.43,1,0,0,0,8
FADF1AV2,F,ADF,1,AV,2,62.77,264.33,1439.03,3053.56,4315.31,2.2483,4.074074,1,0.5,0,0,1,4
FADF1AW2,F,ADF,1,AW,2,59.93,221.42,1381.51,2775.88,4103.25,13.5587,2.181818,6.08,0.67,0,1,0,6
FADF1AX2,F,ADF,1,AX,2,58.08,247.1,1386.95,2799.4,4142.52,-0.9797,2.745098,1,0.5,1,0,3,6
FADF1AY2,F,ADF,1,AY,2,60.87,228.91,1113.6,2694.39,4210,-40,9.655172,7.89,1,0,0,0,7
FADF1AZ2,F,ADF,1,AZ,2,58.85,251.97,1560.4,3257.71,4572.16,4.0505,7.03125,4.91,0.5,0,0,1,2
FADF1BA2,F,ADF,1,BA,2,60.14,237.85,1303.49,2996.93,4228.71,18.196,5.921053,5.61,0.75,0,2,1,12
FADF1BB2,F,ADF,1,BB,2,56.66,246.28,1110.99,3023.64,4213.52,-1.508,8.196721,6.42,0.88,0,1,0,8
FADF1BC2,F,ADF,1,BC,2,58.49,235.6,1446.75,3041.9,4212.52,12.0658,2.833333,5.27,0.5,0,1,3,8
FADF1BD2,F,ADF,1,BD,2,62.05,241.96,1350.09,2879.71,4365.77,3.2113,4.358354,6.72,0.57,0,2,1,7
FADF1BE2,F,ADF,1,BE,2,60.59,240.75,1247.18,2907.21,4172.9,17.497,2.917772,1,0.67,0,1,1,12
FADF1BF2,F,ADF,1,BF,2,56.2,227.57,1532.61,3085.47,4353.44,4.8099,2.352941,5.37,0.5,0,0,4,8
FADF1BG2,F,ADF,1,BG,2,62.36,224.64,1187.51,2963.82,4316.99,-2.6707,6.426735,7.01,0.56,0,1,1,9
FADF1BH2,F,ADF,1,BH,2,60.38,221.52,1097.8,2817.18,4082.06,8.6411,5.733945,6.73,0.6,0,2,3,10
FADF1BI2,F,ADF,1,BI,2,63.47,238.51,1346.83,2900.62,4198.25,10.6135,4.896142,5.93,0.77,0,1,2,13
FADF1BJ2,F,ADF,1,BJ,2,58.8,232,1413.21,2849.88,4269.64,11.765,7.024793,7.2,0.88,0,1,0,8
FADF1BK2,F,ADF,1,BK,2,60.07,228.77,1301.96,2897.84,4318.34,-1.4145,3.549061,6.7,0.45,0,2,2,11
FADF1BL2,F,ADF,1,BL,2,63.68,235.52,1244.03,2734.64,4200.38,11.1237,4.878049,4.4,0.5,0,2,1,6
FADF1BM2,F,ADF,1,BM,2,66.13,210.47,1258.66,2834.07,4114.99,20.4781,6.391753,5.87,0.69,0,2,2,13
FADF1BN2,F,ADF,1,BN,2,65.53,224.46,1120.66,2931.15,4222.14,8.8192,6.760563,6.38,0.7,1,0,4,10
FADF1BO2,F,ADF,1,BO,2,63.64,249.37,1453.36,3158.8,4348.73,13.0175,4.089219,7.2,0.5,0,1,2,6
FADF1BP2,F,ADF,1,BP,2,59.71,235.14,1454.65,3016.33,4306.26,13.5526,3.364486,5.92,0.33,0,2,4,9
FADF1BQ2,F,ADF,1,BQ,2,61.31,220.61,889.8,2801.49,4025.01,-0.9197,9.872611,5.43,0.75,0,2,4,8
FADF1BR2,F,ADF,1,BR,2,64.1,244.91,1277.69,2984.65,4426.85,11.3765,3.468208,5.76,0.67,0,1,1,6
FADF1BS2,F,ADF,1,BS,2,59.38,237.45,1384.69,2955.49,4315.91,17.2063,7.142857,6.52,0.65,0,5,2,17
FADF1BT2,F,ADF,1,BT,2,62.16,235.59,1151.51,2874.14,4203.85,-0.1364,6.606607,6.48,0.73,0,2,2,11
FADF1BU2,F,ADF,1,BU,2,55.34,233.68,1513.37,3018.24,4262.03,13.4878,2.226862,6.3,0.44,0,2,7,18
FADF1BV2,F,ADF,1,BV,2,57.87,251.53,1495.48,3060.51,4380.61,12.9386,3.108808,1,0.42,0,2,4,12
FADF1BW2,F,ADF,1,BW,2,61.74,229.19,1220.96,2984.08,4202.84,12.3507,3.871829,5.13,0.38,0,3,3,13
FADF1BX2,F,ADF,1,BX,2,62.32,239.77,1241.3,2927.45,4241.18,22.7075,3.603604,6.05,0.75,0,0,1,8
FADF1BY2,F,ADF,1,BY,2,63.34,215.33,1242.63,2877.85,4217.59,2.078,4.296875,5.59,0.83,0,2,2,6
FADF1BZ2,F,ADF,1,BZ,2,65.27,236.26,1052.45,2639.34,4047.66,-0.7115,8.333333,6.6,0.67,0,2,0,6
FADF1CA2,F,ADF,1,CA,2,64.5,228.9,981.59,2813.22,4092.87,13.4357,3.514377,5.73,0.56,0,3,2,9
FADF1CB2,F,ADF,1,CB,2,63.08,237.94,1101.97,2735.82,4049.41,16.6261,6.145251,6.6,0.86,0,1,0,7
FADF1CC2,F,ADF,1,CC,2,58.15,242.63,1521.25,2922.87,4167.77,-1.9643,2.111111,6.9,0.33,0,2,4,9
FADF1CD2,F,ADF,1,CD,2,61.78,236.8,1776,3205.13,4372.29,-40,4.455446,5.59,0.4,0,2,1,5
FADF1CE2,F,ADF,1,CE,2,58.66,250.84,1341.57,2949.99,4085.67,14.8481,2.838428,6.28,0.71,0,1,1,7
FADF1CF2,F,ADF,1,CF,2,61.76,222.8,1047.37,2800.06,4203.22,-1.5976,5.652174,6.55,0.33,0,1,3,6
